Src	L_bol	L_bol_upl	L_bol_lol	M_env	M_env_upl	M_env_lol	R_out	R_out_upl	R_out_lol	p_rho	p_rho_upl	p_rho_lol	n_1000AU	n_1000AU_upl	n_1000AU_lol	n_10K	T_dust	ms	clr
N12	740.0	80	90	130	30	30	23784	4757	4757	1.20	0.3	0.1	8.60E+06	1.04E+07	6.70E+06	...	22	o30	k
N30	25000.0	1000	4000	180	50	50	28994	5799	7514	1.10	0.1	0.1	5.10E+06	6.90E+06	3.10E+06	...	37	o30	k
N48	2000.0	600	1000	54	10	10	14024	8495	2805	0.50	...	0.5	1.90E+06	1.00E+06	...	...	40	o30	k
N51	1300.0	200	300	95	10	10	23784	4757	8070	1.10	0.1	0.1	4.50E+06	4.00E+06	2.40E+06	...	19	o30	k
N53	400.0	200	200	240	30	30	12871	4999	5131	1.00	0.2	0.2	2.60E+07	1.80E+07	1.80E+07	...	17.7	o30	k
N63	380.0	30	40	81	40	20	23784	4757	8854	1.20	0.3	0.1	5.30E+06	1.17E+07	3.90E+06	...	25	o30	k
S8	6400.0	200	1000	88	30	10	39251	8572	7850	1.60	0.4	0.1	8.70E+06	2.63E+07	2.30E+06	...	38	o30	k
S26_(GL2591)	210000.0	6000	40000	530	110	150	79628	15926	21341	1.30	0.1	0.1	3.10E+07	3.40E+07	1.60E+07	...	45	o30	k
GL490	2200	2200	1100	30	30	15	19000	5700	5700	1.5	0.5	0.5	6.53E+06	1.07E+07	2.26E+06	...	19	x40	purple
GL7009S	30000	90000	22500	3955	3955	1977.5	91000	27300	27300	0.5	0.2	0.2	1.50E+06	1.28E+06	8.10E+05	...	21	x40	purple
S140-IRS1	20000	60000	15000	46	46	23	29000	8700	8700	1.5	0.5	0.5	5.31E+06	1.16E+07	1.52E+06	...	27	x40	purple
IRAS20126+4104	4500	13500	3375	84	84	42	39000	11700	11700	1.75	0.5	0.5	1.29E+07	3.86E+07	2.69E+06	...	27	x40	purple
W3(H2O)	20000	60000	15000	385	385	192.5	45000	13500	13500	2	0.6	0.6	1.03E+08	3.20E+08	1.68E+07	...	26	x40	purple
NGC6334-IRS1	110000	330000	82500	382	382	191	43000	12900	12900	2	0.6	0.6	1.07E+08	3.21E+08	1.79E+07	...	35	x40	purple
#W28_A2	130000	390000	97500	292	292	146	37000	11100	11100	1.5	0.2	0.2	2.34E+07	4.17E+07	1.29E+07	...	42	x40	purple
L1448-I2	3	0.6	0.6	1.5	0.3	0.3	13000	2600	2600	1.2	0.2	0.2	2.50E+06	5.00E+05	5.00E+05	400000	30	^30	magenta
